repo name,repo size, repo clone url
XiaoMi/galaxy-fds-sdk-android,65,https://github.com/XiaoMi/galaxy-fds-sdk-android.git
inferred/FreeBuilder,4427,https://github.com/inferred/FreeBuilder.git
jandy-team/jandy,5059,https://github.com/jandy-team/jandy.git
diaozxin007/HumpApi,103,https://github.com/diaozxin007/HumpApi.git
rhwayfun/spring-boot-learning-examples,345,https://github.com/rhwayfun/spring-boot-learning-examples.git
beworker/tinybus,2309,https://github.com/beworker/tinybus.git
unicode-org/cldr,214046,https://github.com/unicode-org/cldr.git
hrldcpr/pcollections,2415,https://github.com/hrldcpr/pcollections.git
encryptedsystems/Clusion,243,https://github.com/encryptedsystems/Clusion.git
bpatters/schemagen-graphql,339,https://github.com/bpatters/schemagen-graphql.git
davidmoten/rtree,1648,https://github.com/davidmoten/rtree.git
tgvaughan/MASTER,47352,https://github.com/tgvaughan/MASTER.git
acebaggins/gson-serializers,42,https://github.com/acebaggins/gson-serializers.git
maximeAudrain/jenerate,709,https://github.com/maximeAudrain/jenerate.git
EliFUT/android,20969,https://github.com/EliFUT/android.git
Wikia/dropwizard-logstash-encoder,26,https://github.com/Wikia/dropwizard-logstash-encoder.git
LiuKay/mmall-kay-Java,3511,https://github.com/LiuKay/mmall-kay-Java.git
jberet/jsr352,75596,https://github.com/jberet/jsr352.git
lianggzone/springboot-action,87,https://github.com/lianggzone/springboot-action.git
jpmml/jpmml-evaluator-spark,93,https://github.com/jpmml/jpmml-evaluator-spark.git
ZhuBaker/rate-limiter,32,https://github.com/ZhuBaker/rate-limiter.git
bazelbuild/BUILD_file_generator,156,https://github.com/bazelbuild/BUILD_file_generator.git
google/j2cl,34469,https://github.com/google/j2cl.git
analysys/EasyScheduler,61597,https://github.com/analysys/EasyScheduler.git
xiancloud/xian,4170,https://github.com/xiancloud/xian.git
thyrlian/AwesomeValidation,1452,https://github.com/thyrlian/AwesomeValidation.git
Blankj/FreeProGuard,174,https://github.com/Blankj/FreeProGuard.git
JodaOrg/joda-collect,103,https://github.com/JodaOrg/joda-collect.git
resilience4j/resilience4j,4246,https://github.com/resilience4j/resilience4j.git
zeruth/OSRS-Deobfuscator,14890,https://github.com/zeruth/OSRS-Deobfuscator.git
kstyrc/embedded-redis,6756,https://github.com/kstyrc/embedded-redis.git
apache/royale-compiler,85575,https://github.com/apache/royale-compiler.git
uwolfer/gerrit-rest-java-client,1461,https://github.com/uwolfer/gerrit-rest-java-client.git
apollographql/apollo-android,139416,https://github.com/apollographql/apollo-android.git
rickfast/consul-client,984,https://github.com/rickfast/consul-client.git
palantir/safe-logging,424,https://github.com/palantir/safe-logging.git
spotify/futures-extra,189,https://github.com/spotify/futures-extra.git
spotify/bazel-tools,221,https://github.com/spotify/bazel-tools.git
keepcosmos/beanmother,688,https://github.com/keepcosmos/beanmother.git
assylias/jBloomberg,12267,https://github.com/assylias/jBloomberg.git
JodaOrg/joda-convert,414,https://github.com/JodaOrg/joda-convert.git
googleapis/api-common-java,620,https://github.com/googleapis/api-common-java.git
landawn/AbacusUtil,2985046,https://github.com/landawn/AbacusUtil.git
OWASP/java-html-sanitizer,28074,https://github.com/OWASP/java-html-sanitizer.git
butter-fly/belling-admin,2329,https://github.com/butter-fly/belling-admin.git
vbauer/caesar,675,https://github.com/vbauer/caesar.git
zaiyunduan123/springboot-seckill,5035,https://github.com/zaiyunduan123/springboot-seckill.git
liaozihong/SpringBoot-Learning,433,https://github.com/liaozihong/SpringBoot-Learning.git
anhldbk/swarm,7974,https://github.com/anhldbk/swarm.git
yahoo/xpath_proto_builder,105,https://github.com/yahoo/xpath_proto_builder.git
google/schemaorg-java,76920,https://github.com/google/schemaorg-java.git
lowzj/java-retrying,51,https://github.com/lowzj/java-retrying.git
notem/Saber-Bot,6025,https://github.com/notem/Saber-Bot.git
Azure/azure-cosmosdb-java,4115,https://github.com/Azure/azure-cosmosdb-java.git
rolandoislas/drc-sim-client,1028,https://github.com/rolandoislas/drc-sim-client.git
restx/restx,7846,https://github.com/restx/restx.git
xu942122587/Java-Interview,567,https://github.com/xu942122587/Java-Interview.git
alx3apps/ctz-utils,1150,https://github.com/alx3apps/ctz-utils.git
jiwenxing/spring-boot-demo,7847,https://github.com/jiwenxing/spring-boot-demo.git
vvsuperman/coolmq,124,https://github.com/vvsuperman/coolmq.git
PaystackHQ/paystack-android,380,https://github.com/PaystackHQ/paystack-android.git
doanduyhai/Achilles,96583,https://github.com/doanduyhai/Achilles.git
takecy/vertx3-api-server,36,https://github.com/takecy/vertx3-api-server.git
electronicarts/ea-async,387,https://github.com/electronicarts/ea-async.git
TFdream/juice,69,https://github.com/TFdream/juice.git
paul-hammant/googles-monorepo-demo,3252,https://github.com/paul-hammant/googles-monorepo-demo.git
sangupta/murmur,5760,https://github.com/sangupta/murmur.git
vakinge/jeesuite-libs,2490,https://github.com/vakinge/jeesuite-libs.git
ferstl/depgraph-maven-plugin,3034,https://github.com/ferstl/depgraph-maven-plugin.git
Kuangcp/JavaBase,1237,https://github.com/Kuangcp/JavaBase.git
godaddy/godaddy-logger,110,https://github.com/godaddy/godaddy-logger.git
danfickle/openhtmltopdf,55483,https://github.com/danfickle/openhtmltopdf.git
bingyulei007/bingexcel,8559,https://github.com/bingyulei007/bingexcel.git
arteam/simple-json-rpc,334,https://github.com/arteam/simple-json-rpc.git
palantir/streams,118,https://github.com/palantir/streams.git
raistlic/raistlic-lib-commons-core,755,https://github.com/raistlic/raistlic-lib-commons-core.git
dee1024/sloth,1272,https://github.com/dee1024/sloth.git
sosy-lab/java-common-lib,1981,https://github.com/sosy-lab/java-common-lib.git
sprinklr-inc/twitter4j-ads,597,https://github.com/sprinklr-inc/twitter4j-ads.git
liushaoming/jseckill,1772,https://github.com/liushaoming/jseckill.git
diffplug/matfilerw,8335,https://github.com/diffplug/matfilerw.git
TiantianUpup/double-cache,104,https://github.com/TiantianUpup/double-cache.git
29DCH/LovingHome-Real-Estate-Platform,57169,https://github.com/29DCH/LovingHome-Real-Estate-Platform.git
deliciousblackink/Derpibooru,2552,https://github.com/deliciousblackink/Derpibooru.git
HubSpot/NioSmtpClient,709,https://github.com/HubSpot/NioSmtpClient.git
spotify/helios,7617,https://github.com/spotify/helios.git
xvik/dropwizard-guicey-examples,184,https://github.com/xvik/dropwizard-guicey-examples.git
chenjianjx/sep4j,188,https://github.com/chenjianjx/sep4j.git
Jarrywell/GH-Demo,406,https://github.com/Jarrywell/GH-Demo.git
xuwujing/java-study,341,https://github.com/xuwujing/java-study.git
palantir/gradle-baseline,1478,https://github.com/palantir/gradle-baseline.git
frame-faker/demo_mall,114,https://github.com/frame-faker/demo_mall.git
szhyde/springnext-manager,4276,https://github.com/szhyde/springnext-manager.git
google/java-monitoring-client-library,125,https://github.com/google/java-monitoring-client-library.git
Shouheng88/Learning-notes,7964,https://github.com/Shouheng88/Learning-notes.git
spotify/folsom,741,https://github.com/spotify/folsom.git
indeedeng/vowpal-wabbit-java,104651,https://github.com/indeedeng/vowpal-wabbit-java.git
aol/micro-server,8247,https://github.com/aol/micro-server.git
jknack/handlebars.java,3495,https://github.com/jknack/handlebars.java.git
clojure/clojure,14990,https://github.com/clojure/clojure.git
h819/spring-boot,34497,https://github.com/h819/spring-boot.git
gazbert/bxbot,4176,https://github.com/gazbert/bxbot.git
OpenNTF/org.openntf.domino,105682,https://github.com/OpenNTF/org.openntf.domino.git
zalando-stups/java-sproc-wrapper,644,https://github.com/zalando-stups/java-sproc-wrapper.git
dyng/polling,65,https://github.com/dyng/polling.git
francesco-ficarola/gexf4j,2408,https://github.com/francesco-ficarola/gexf4j.git
bennidi/mbassador,2624,https://github.com/bennidi/mbassador.git
outbrain/ob1k,3100,https://github.com/outbrain/ob1k.git
fkorotkov/gradle-libraries-plugin,170,https://github.com/fkorotkov/gradle-libraries-plugin.git
vlsi/compactmap,59,https://github.com/vlsi/compactmap.git
geekbeast/rhizome,1855,https://github.com/geekbeast/rhizome.git
cloudera/kitten,383,https://github.com/cloudera/kitten.git
renatoathaydes/jgrab,279,https://github.com/renatoathaydes/jgrab.git
feiqing/cachex,472,https://github.com/feiqing/cachex.git
danielnorberg/auto-matter,640,https://github.com/danielnorberg/auto-matter.git
guobinhit/cg-blog,61221,https://github.com/guobinhit/cg-blog.git
mrcritical/ironcache,59,https://github.com/mrcritical/ironcache.git
hryou0922/component,59997,https://github.com/hryou0922/component.git
ribasco/async-gamequery-lib,49049,https://github.com/ribasco/async-gamequery-lib.git
KengoTODA/guava-helper-for-java-8,113,https://github.com/KengoTODA/guava-helper-for-java-8.git
freddyboucher/gwt-storage-objectify,1129,https://github.com/freddyboucher/gwt-storage-objectify.git
apache/incubator-tuweni,1190,https://github.com/apache/incubator-tuweni.git
Carleslc/Simple-YAML,6888,https://github.com/Carleslc/Simple-YAML.git
sjamesr/jfreesane,795,https://github.com/sjamesr/jfreesane.git
blockchain-certificates/wallet-android,34627,https://github.com/blockchain-certificates/wallet-android.git
cache2k/cache2k-benchmark,42059,https://github.com/cache2k/cache2k-benchmark.git
rhuffman/re-retrying,503,https://github.com/rhuffman/re-retrying.git
pwittchen/ReactiveBus,117,https://github.com/pwittchen/ReactiveBus.git
google/mug,3593,https://github.com/google/mug.git
vancefantasy/flyer-maker,67,https://github.com/vancefantasy/flyer-maker.git
JPDSousa/mongo-obj-framework,5995,https://github.com/JPDSousa/mongo-obj-framework.git
ef-labs/vertx-cassandra,302,https://github.com/ef-labs/vertx-cassandra.git
forezp/distributed-limit,79,https://github.com/forezp/distributed-limit.git
Kaljurand/Diktofon,1171,https://github.com/Kaljurand/Diktofon.git
GrammaticalFramework/JPGF,37881,https://github.com/GrammaticalFramework/JPGF.git
DarLiner/Java-Interview,570,https://github.com/DarLiner/Java-Interview.git
vorburger/ch.vorburger.fswatch,60,https://github.com/vorburger/ch.vorburger.fswatch.git
alexandre-normand/blood-shepherd,394,https://github.com/alexandre-normand/blood-shepherd.git
Rayhahah/Raymall,4141,https://github.com/Rayhahah/Raymall.git
pubref/grpc_greetertimer,271,https://github.com/pubref/grpc_greetertimer.git
RojerAlone/Java-in-Action,113,https://github.com/RojerAlone/Java-in-Action.git
actor-t/springboot-mapper-redis,4022,https://github.com/actor-t/springboot-mapper-redis.git
Fanqie22/MicroClouds,15906,https://github.com/Fanqie22/MicroClouds.git
bingoohuang/eql,1364,https://github.com/bingoohuang/eql.git
jjj124/SpringLimiter,57,https://github.com/jjj124/SpringLimiter.git
Nepxion/EventBus,158,https://github.com/Nepxion/EventBus.git
ichukai/blog.chukai.pro,10397,https://github.com/ichukai/blog.chukai.pro.git
andrewoma/dexx,487,https://github.com/andrewoma/dexx.git
rahulsom/grooves,2799,https://github.com/rahulsom/grooves.git
owlcs/owlapi,163165,https://github.com/owlcs/owlapi.git
dzh/coca,232,https://github.com/dzh/coca.git
diffplug/durian-rx,1583,https://github.com/diffplug/durian-rx.git
menny/mabel,726,https://github.com/menny/mabel.git
bitterfox/jshell-maven-plugin,13,https://github.com/bitterfox/jshell-maven-plugin.git
liang2024086/code_comment_generation,76354,https://github.com/liang2024086/code_comment_generation.git
azagniotov/codahale-aggregated-metrics-cloudwatch-reporter,128,https://github.com/azagniotov/codahale-aggregated-metrics-cloudwatch-reporter.git
arthurgregorio/library,1144,https://github.com/arthurgregorio/library.git
Wasabi1234/shopping-mmall,38856,https://github.com/Wasabi1234/shopping-mmall.git
mendix/CommunityCommons,102995,https://github.com/mendix/CommunityCommons.git
winterbe/java8-tutorial,157,https://github.com/winterbe/java8-tutorial.git
scireum/sirius-kernel,1503,https://github.com/scireum/sirius-kernel.git
SeleniumHQ/fluent-selenium,1399,https://github.com/SeleniumHQ/fluent-selenium.git
gilmore606/ure,38742,https://github.com/gilmore606/ure.git
SmartDataAnalytics/jena-sparql-api,30124,https://github.com/SmartDataAnalytics/jena-sparql-api.git
meraki-analytics/orianna,2350,https://github.com/meraki-analytics/orianna.git
bingoohuang/diamond-miner,2256,https://github.com/bingoohuang/diamond-miner.git
beluchin/deepequals,63,https://github.com/beluchin/deepequals.git
Nepxion/Aquarius,1140,https://github.com/Nepxion/Aquarius.git
kravchik/jcommon,360,https://github.com/kravchik/jcommon.git
pkware/truth-android,711,https://github.com/pkware/truth-android.git
iUnixPL/HatakeCore,9,https://github.com/iUnixPL/HatakeCore.git
alexkasko/springjdbc-iterable,184,https://github.com/alexkasko/springjdbc-iterable.git
diffplug/durian-swt,9587,https://github.com/diffplug/durian-swt.git
JiangJiangjungle/SecKill-System,304,https://github.com/JiangJiangjungle/SecKill-System.git
yogurt-dev/yogurt,8813,https://github.com/yogurt-dev/yogurt.git
notsojug/jug-material,1591,https://github.com/notsojug/jug-material.git
bozaro/git-lfs-java,430,https://github.com/bozaro/git-lfs-java.git
shijiebei2009/RedisDirectory,82,https://github.com/shijiebei2009/RedisDirectory.git
hupper0/javaInterview,1051,https://github.com/hupper0/javaInterview.git
zhangjessey/rxweb,429,https://github.com/zhangjessey/rxweb.git
nuxeo/nuxeo-java-client,8076,https://github.com/nuxeo/nuxeo-java-client.git
CategoricalData/CQL,15482,https://github.com/CategoricalData/CQL.git
littlefishercoder/littlefisher-system,35221,https://github.com/littlefishercoder/littlefisher-system.git
bohnman/squiggly-java,1299,https://github.com/bohnman/squiggly-java.git
basis-technology-corp/annotated-data-model,1399,https://github.com/basis-technology-corp/annotated-data-model.git
SamirTalwar/Streams,235,https://github.com/SamirTalwar/Streams.git
viritin/viritin,1636,https://github.com/viritin/viritin.git
FusionAuth/fusionauth-jwt,410,https://github.com/FusionAuth/fusionauth-jwt.git
kickstarter/dropwizard-influxdb-reporter,4544,https://github.com/kickstarter/dropwizard-influxdb-reporter.git
Nepxion/Thunder,14053,https://github.com/Nepxion/Thunder.git
FTC7393/EVLib,6499,https://github.com/FTC7393/EVLib.git
bingoohuang/westcache,516,https://github.com/bingoohuang/westcache.git
jdurbin/grapnel,58545,https://github.com/jdurbin/grapnel.git
logzio/logzio-logback-appender,223,https://github.com/logzio/logzio-logback-appender.git
nnkwrik/weapp-fangxianyu,13430,https://github.com/nnkwrik/weapp-fangxianyu.git
duanxinyuan/cache-redis,61,https://github.com/duanxinyuan/cache-redis.git
DominoKit/gwt-jackson-apt,1200,https://github.com/DominoKit/gwt-jackson-apt.git
centro/monitoring-center,659,https://github.com/centro/monitoring-center.git
mkarneim/pojobuilder,7181,https://github.com/mkarneim/pojobuilder.git
CoffeePartner/capt,616,https://github.com/CoffeePartner/capt.git
chhh/MSFTBX,46965,https://github.com/chhh/MSFTBX.git
cloudera/search,32086,https://github.com/cloudera/search.git
tmurakami/dexopener,1328,https://github.com/tmurakami/dexopener.git
sjf1256754123/spring-boot-api-mybatis-plus,101,https://github.com/sjf1256754123/spring-boot-api-mybatis-plus.git
gaul/java-collection-overhead,20,https://github.com/gaul/java-collection-overhead.git
RMLio/rmlmapper-java,85426,https://github.com/RMLio/rmlmapper-java.git
prometheus/client_java,3363,https://github.com/prometheus/client_java.git
l0s/fernet-java8,1138,https://github.com/l0s/fernet-java8.git
lucko/bytebin,66,https://github.com/lucko/bytebin.git
karamelchef/karamel,11947,https://github.com/karamelchef/karamel.git
mojodna/osm2orc,143,https://github.com/mojodna/osm2orc.git
jiangsongHB/spring-boot-demo,4008,https://github.com/jiangsongHB/spring-boot-demo.git
houbb/junitperf,766,https://github.com/houbb/junitperf.git
wildfly-extras/creaper,996,https://github.com/wildfly-extras/creaper.git
UnknownDetectionParty/UDP-Java,1725,https://github.com/UnknownDetectionParty/UDP-Java.git
werwolfGu/JHodgepodge,658,https://github.com/werwolfGu/JHodgepodge.git
laidu/java-learn,10162,https://github.com/laidu/java-learn.git
XinYang-Pan/cucumber-ext,190,https://github.com/XinYang-Pan/cucumber-ext.git
kensens/FrAngel,46266,https://github.com/kensens/FrAngel.git
Vedenin/useful-java-links,2216,https://github.com/Vedenin/useful-java-links.git
lloydtorres/stately,4539,https://github.com/lloydtorres/stately.git
BleethNie/Examples,3835,https://github.com/BleethNie/Examples.git
bolcom/spring-data-mongodb-encrypt,132,https://github.com/bolcom/spring-data-mongodb-encrypt.git
ngageoint/mage-android,12414,https://github.com/ngageoint/mage-android.git
ajermakovics/json,68,https://github.com/ajermakovics/json.git
Nastel/TNT4J,4261,https://github.com/Nastel/TNT4J.git
grignaak/cow-collections,111,https://github.com/grignaak/cow-collections.git
elennick/retry4j,276,https://github.com/elennick/retry4j.git
mycila/guice,448,https://github.com/mycila/guice.git
spotify/missinglink,294,https://github.com/spotify/missinglink.git
gintool/gin,9288,https://github.com/gintool/gin.git
tigersoldier/JavaComp,12300,https://github.com/tigersoldier/JavaComp.git
krpors/gimlet,828,https://github.com/krpors/gimlet.git
satori-com/satori-rtm-sdk-java,475,https://github.com/satori-com/satori-rtm-sdk-java.git
SpringCloud/spring-cloud-fusion,54,https://github.com/SpringCloud/spring-cloud-fusion.git
Sauilitired/Jenkins4J,192,https://github.com/Sauilitired/Jenkins4J.git
axeon/uw-mydb,237,https://github.com/axeon/uw-mydb.git
episode6/mockspresso,1304,https://github.com/episode6/mockspresso.git
jsonld-java/jsonld-java,2465,https://github.com/jsonld-java/jsonld-java.git
eXsio/nestedj,223,https://github.com/eXsio/nestedj.git
spotify/semantic-metrics,242,https://github.com/spotify/semantic-metrics.git
mru00/cutlet,109,https://github.com/mru00/cutlet.git
appium/java-client,83867,https://github.com/appium/java-client.git
zitiger/xdtk,17645,https://github.com/zitiger/xdtk.git
aliyun/opentsdb-java-driver,175,https://github.com/aliyun/opentsdb-java-driver.git
milosmns/silly-android,528,https://github.com/milosmns/silly-android.git
codeborne/play-tests,1013,https://github.com/codeborne/play-tests.git
BrandwatchLtd/robots,1313,https://github.com/BrandwatchLtd/robots.git
ZzzCrazyPig/oh-netty-rpc,59,https://github.com/ZzzCrazyPig/oh-netty-rpc.git
gmission/gmission_reborn_android,4390,https://github.com/gmission/gmission_reborn_android.git
json-template/JsonTemplate,233,https://github.com/json-template/JsonTemplate.git
ElrondNetwork/elrond-node-prototype,16635,https://github.com/ElrondNetwork/elrond-node-prototype.git
derive4j/derive4j,1022,https://github.com/derive4j/derive4j.git
justinscript/jweb,353,https://github.com/justinscript/jweb.git
jparams/to-string-verifier,164,https://github.com/jparams/to-string-verifier.git
SmartDataAnalytics/OWL2SPARQL,129,https://github.com/SmartDataAnalytics/OWL2SPARQL.git
timboudreau/acteur,2212,https://github.com/timboudreau/acteur.git
aritraroy/UltimateAndroidReference,556,https://github.com/aritraroy/UltimateAndroidReference.git
HebiRobotics/MFL,4643,https://github.com/HebiRobotics/MFL.git
blueapron/marinator,100,https://github.com/blueapron/marinator.git
CODAIT/stocator,1214,https://github.com/CODAIT/stocator.git
relvaner/actor4j-core,8124,https://github.com/relvaner/actor4j-core.git
artem-zinnatullin/error-prone-performance,22484,https://github.com/artem-zinnatullin/error-prone-performance.git
vincentrussell/json-data-generator,393,https://github.com/vincentrussell/json-data-generator.git
graphql-java/java-dataloader,286,https://github.com/graphql-java/java-dataloader.git
dzieciou/curl-logger,212,https://github.com/dzieciou/curl-logger.git
dgroup/term4j,132,https://github.com/dgroup/term4j.git
wavesoftware/java-eid-exceptions,238,https://github.com/wavesoftware/java-eid-exceptions.git
mitch-seymour/waveshaper,99,https://github.com/mitch-seymour/waveshaper.git
johanjanssen/JavaContinuousDeliveryPipeline,64,https://github.com/johanjanssen/JavaContinuousDeliveryPipeline.git
mediatoolkit/pareco,231,https://github.com/mediatoolkit/pareco.git
state-machine-systems/envy,194,https://github.com/state-machine-systems/envy.git
aherbert/gdsc-smlm,32146,https://github.com/aherbert/gdsc-smlm.git
zonkyio/embedded-database-spring-test,374,https://github.com/zonkyio/embedded-database-spring-test.git
xwjie/j2ee-study-path,1141,https://github.com/xwjie/j2ee-study-path.git
AlbertZheng/spring-cloud-microservices-on-kubernetes,4209,https://github.com/AlbertZheng/spring-cloud-microservices-on-kubernetes.git
patrickfav/bytes-java,1081,https://github.com/patrickfav/bytes-java.git
idealo/mongodb-slow-operations-profiler,1291,https://github.com/idealo/mongodb-slow-operations-profiler.git
opsmatters/newrelic-api,710,https://github.com/opsmatters/newrelic-api.git
wangwenjun/guava_programming,449,https://github.com/wangwenjun/guava_programming.git
marcushellberg/vaadin-tips,135,https://github.com/marcushellberg/vaadin-tips.git
stephengold/jme3-utilities,50319,https://github.com/stephengold/jme3-utilities.git
VIDA-NYU/data-polygamy,50721,https://github.com/VIDA-NYU/data-polygamy.git
Yoruichi/RemoteRateLimiter,75,https://github.com/Yoruichi/RemoteRateLimiter.git
keenlabs/KeenClient-Java,4327,https://github.com/keenlabs/KeenClient-Java.git
dma-ais/AisAbnormal,7986,https://github.com/dma-ais/AisAbnormal.git
liuyueyi/quick-fix,114,https://github.com/liuyueyi/quick-fix.git
xvik/generics-resolver,882,https://github.com/xvik/generics-resolver.git
ArpNetworking/logback-steno,643,https://github.com/ArpNetworking/logback-steno.git
tootedom/herdcache,566,https://github.com/tootedom/herdcache.git
TaXueWWL/shield-job,812,https://github.com/TaXueWWL/shield-job.git
1and1/ioc-unit,2526,https://github.com/1and1/ioc-unit.git
monday-consulting/fsm-maven-plugin,65,https://github.com/monday-consulting/fsm-maven-plugin.git
mileshenrichs/QuiFFT,19654,https://github.com/mileshenrichs/QuiFFT.git
mmahmoudothman/UltimateAndroidReference,272,https://github.com/mmahmoudothman/UltimateAndroidReference.git
FreemanZhang/system-design,72600,https://github.com/FreemanZhang/system-design.git
