repo name,repo size, repo clone url
tagbangers/wallride,5863,https://github.com/tagbangers/wallride.git
neoremind/fluent-validator,250,https://github.com/neoremind/fluent-validator.git
je-ge/spring-boot,784,https://github.com/je-ge/spring-boot.git
mihaicostin/hibernate-l2-memcached,134,https://github.com/mihaicostin/hibernate-l2-memcached.git
yidao620c/SpringBootBucket,2265,https://github.com/yidao620c/SpringBootBucket.git
rhwayfun/spring-boot-learning-examples,345,https://github.com/rhwayfun/spring-boot-learning-examples.git
HotswapProjects/HotswapAgentExamples,229,https://github.com/HotswapProjects/HotswapAgentExamples.git
Apress/beg-hibernate-4ed,116,https://github.com/Apress/beg-hibernate-4ed.git
jbosstm/quickstart,7823,https://github.com/jbosstm/quickstart.git
lcw2004/one,10158,https://github.com/lcw2004/one.git
wuyouzhuguli/SpringAll,974,https://github.com/wuyouzhuguli/SpringAll.git
dayatang/dddlib,52576,https://github.com/dayatang/dddlib.git
szerhusenBC/jwt-spring-security-demo,252,https://github.com/szerhusenBC/jwt-spring-security-demo.git
RameshMF/spring-mvc-tutorial,228,https://github.com/RameshMF/spring-mvc-tutorial.git
opentracing-contrib/java-jdbc,301,https://github.com/opentracing-contrib/java-jdbc.git
jOOQ/jOOQ,143131,https://github.com/jOOQ/jOOQ.git
hibernate/hibernate-hql-parser,754,https://github.com/hibernate/hibernate-hql-parser.git
snowxwolf/boot,96,https://github.com/snowxwolf/boot.git
leandrocgsi/semeru_jsf_maven,7444,https://github.com/leandrocgsi/semeru_jsf_maven.git
Blazebit/blaze-persistence,19498,https://github.com/Blazebit/blaze-persistence.git
JadiraOrg/jadira,3065,https://github.com/JadiraOrg/jadira.git
vladmihalcea/high-performance-java-persistence,1842,https://github.com/vladmihalcea/high-performance-java-persistence.git
confluentinc/rest-utils,740,https://github.com/confluentinc/rest-utils.git
PowerDos/Mall-Server,47258,https://github.com/PowerDos/Mall-Server.git
Devskiller/jpa2ddl,210,https://github.com/Devskiller/jpa2ddl.git
RameshMF/Hibernate-ORM-Tutorials,216,https://github.com/RameshMF/Hibernate-ORM-Tutorials.git
bfwg/springboot-jwt-starter,220,https://github.com/bfwg/springboot-jwt-starter.git
spring-projects/spring-petclinic,7259,https://github.com/spring-projects/spring-petclinic.git
VaughnVernon/IDDD_Samples,1255,https://github.com/VaughnVernon/IDDD_Samples.git
wangleeyom/code-artisan,89,https://github.com/wangleeyom/code-artisan.git
yaw/swing-spring-jpa-crud,217,https://github.com/yaw/swing-spring-jpa-crud.git
nbfujx/springBoot-learn-demo,588,https://github.com/nbfujx/springBoot-learn-demo.git
mikemelon/java-exam,8476,https://github.com/mikemelon/java-exam.git
needmorecode/carmelo,42403,https://github.com/needmorecode/carmelo.git
devdattakulkarni/ModernWebApps,185,https://github.com/devdattakulkarni/ModernWebApps.git
sebersole/gradle-maven-publish-auth,106,https://github.com/sebersole/gradle-maven-publish-auth.git
ogcs/Okra,588,https://github.com/ogcs/Okra.git
qala-io/java-course,185,https://github.com/qala-io/java-course.git
apache/incubator-shardingsphere,46308,https://github.com/apache/incubator-shardingsphere.git
mhgrove/Empire,59491,https://github.com/mhgrove/Empire.git
rieckpil/blog-tutorials,15319,https://github.com/rieckpil/blog-tutorials.git
The-Alchemist/hibernate-postgresql,93,https://github.com/The-Alchemist/hibernate-postgresql.git
eduardogch/Spring-Template-Bootstrap3,197,https://github.com/eduardogch/Spring-Template-Bootstrap3.git
IcedSoul/Shopping,614,https://github.com/IcedSoul/Shopping.git
zhongxunking/configcenter,1934,https://github.com/zhongxunking/configcenter.git
Dreamroute/locker,208,https://github.com/Dreamroute/locker.git
kingston-csj/mmorpg,5616,https://github.com/kingston-csj/mmorpg.git
srecon/the-apache-ignite-book,39036,https://github.com/srecon/the-apache-ignite-book.git
moshowgame/spring-cloud-study,212,https://github.com/moshowgame/spring-cloud-study.git
cache2k/cache2k,6553,https://github.com/cache2k/cache2k.git
hudec/sql-processor,42897,https://github.com/hudec/sql-processor.git
Sunybyjava/employeeManager,604,https://github.com/Sunybyjava/employeeManager.git
lovelifeming/Resource,29932,https://github.com/lovelifeming/Resource.git
vatri/spring-rest-ecommerce,77,https://github.com/vatri/spring-rest-ecommerce.git
cjbi/wetech-admin,124452,https://github.com/cjbi/wetech-admin.git
kumuluz/kumuluzee,1518,https://github.com/kumuluz/kumuluzee.git
coditori/coditori,3458,https://github.com/coditori/coditori.git
classgraph/classgraph,24654,https://github.com/classgraph/classgraph.git
