repo name,repo size, repo clone url
ron190/jsql-injection,7065,https://github.com/ron190/jsql-injection.git
b3log/xiaov,5022,https://github.com/b3log/xiaov.git
confluentinc/kafka-streams-examples,2258,https://github.com/confluentinc/kafka-streams-examples.git
cloudera/logredactor,122,https://github.com/cloudera/logredactor.git
jasonray/jersey-starterkit,22205,https://github.com/jasonray/jersey-starterkit.git
fossasia/neurolab-desktop,11107,https://github.com/fossasia/neurolab-desktop.git
wso2/ballerina-message-broker,5012,https://github.com/wso2/ballerina-message-broker.git
salesforce-marketingcloud/FuelSDK-Java,8200,https://github.com/salesforce-marketingcloud/FuelSDK-Java.git
Zoutao6/examination_system-,2043,https://github.com/Zoutao6/examination_system-.git
SwingFrog/Summer,28987,https://github.com/SwingFrog/Summer.git
fluent/fluent-logger-java,621,https://github.com/fluent/fluent-logger-java.git
jpush/jpush-api-java-client,12427,https://github.com/jpush/jpush-api-java-client.git
20100507/emotional_analysis,12309,https://github.com/20100507/emotional_analysis.git
gsdenys/alfresco-bulk-export,215,https://github.com/gsdenys/alfresco-bulk-export.git
nextcloud/android-library,13390,https://github.com/nextcloud/android-library.git
skill6/skill6-website-backend,5265,https://github.com/skill6/skill6-website-backend.git
axbaretto/kafka,27947,https://github.com/axbaretto/kafka.git
igvteam/igv,410642,https://github.com/igvteam/igv.git
MartinDai/weChatRobot,84,https://github.com/MartinDai/weChatRobot.git
jscep/jscep,8711,https://github.com/jscep/jscep.git
angryelectron/thingspeak-java,2785,https://github.com/angryelectron/thingspeak-java.git
Tradeshift/ts-reaktive,1097,https://github.com/Tradeshift/ts-reaktive.git
rapid7/le_java,286,https://github.com/rapid7/le_java.git
sanaehirotaka/logbook-kai,2897,https://github.com/sanaehirotaka/logbook-kai.git
xtuhcy/gecco,983,https://github.com/xtuhcy/gecco.git
apache/wicket,123605,https://github.com/apache/wicket.git
msdk/msdk,213276,https://github.com/msdk/msdk.git
rackerlabs/blueflood,11450,https://github.com/rackerlabs/blueflood.git
awslabs/dynamodb-cross-region-library,1593,https://github.com/awslabs/dynamodb-cross-region-library.git
zelandiya/maui-standalone,144,https://github.com/zelandiya/maui-standalone.git
palantir/gradle-baseline,1478,https://github.com/palantir/gradle-baseline.git
javadelight/delight-nashorn-sandbox,489,https://github.com/javadelight/delight-nashorn-sandbox.git
synapticloop/backblaze-b2-java-api,1257,https://github.com/synapticloop/backblaze-b2-java-api.git
jpush/jiguang-java-client-common,5065,https://github.com/jpush/jiguang-java-client-common.git
dav3860/vmbix,629,https://github.com/dav3860/vmbix.git
apache/jspwiki,52586,https://github.com/apache/jspwiki.git
savoirtech/slf4j-json-logger,125,https://github.com/savoirtech/slf4j-json-logger.git
mygreen/xlsmapper,44266,https://github.com/mygreen/xlsmapper.git
mplushnikov/lombok-intellij-plugin,16903,https://github.com/mplushnikov/lombok-intellij-plugin.git
egzosn/pay-java-parent,1301,https://github.com/egzosn/pay-java-parent.git
in28minutes/SpringMvcStepByStep,469,https://github.com/in28minutes/SpringMvcStepByStep.git
kredel/java-algebra-system,12510,https://github.com/kredel/java-algebra-system.git
harbby/sylph,5444,https://github.com/harbby/sylph.git
HongZhaoHua/jstarcraft-core,875,https://github.com/HongZhaoHua/jstarcraft-core.git
Crab2died/log4j-redis-appender,220,https://github.com/Crab2died/log4j-redis-appender.git
helloShen/leetcode-helper,71521,https://github.com/helloShen/leetcode-helper.git
JaceyRx/Examination_System,884,https://github.com/JaceyRx/Examination_System.git
aliyun/aliyun-log-log4j2-appender,96,https://github.com/aliyun/aliyun-log-log4j2-appender.git
mygreen/super-csv-annotation,22201,https://github.com/mygreen/super-csv-annotation.git
banzaicloud/apache-kafka-on-k8s,59215,https://github.com/banzaicloud/apache-kafka-on-k8s.git
SAP/cf-java-logging-support,394,https://github.com/SAP/cf-java-logging-support.git
hotelbeds-sdk/hotel-api-sdk-java,2854,https://github.com/hotelbeds-sdk/hotel-api-sdk-java.git
kdgregory/log4j-aws-appenders,1212,https://github.com/kdgregory/log4j-aws-appenders.git
neoremind/fluent-validator,250,https://github.com/neoremind/fluent-validator.git
prestodb/tempto,2918,https://github.com/prestodb/tempto.git
Netflix/s3mper,146,https://github.com/Netflix/s3mper.git
reportportal/logger-java-log4j,119,https://github.com/reportportal/logger-java-log4j.git
lemonJun/TakinRPC,645,https://github.com/lemonJun/TakinRPC.git
wanghan0501/WiFiProbeAnalysis,6117,https://github.com/wanghan0501/WiFiProbeAnalysis.git
Azure/azure-cosmosdb-java,4115,https://github.com/Azure/azure-cosmosdb-java.git
RAOE/RunnerManager,71066,https://github.com/RAOE/RunnerManager.git
christ66/cobertura,28794,https://github.com/christ66/cobertura.git
imbugs/simperf,168,https://github.com/imbugs/simperf.git
LovelyBear2018/MyHttpClient,331,https://github.com/LovelyBear2018/MyHttpClient.git
AichaelLee/zeusSpring,8979,https://github.com/AichaelLee/zeusSpring.git
code4wt/mybatis-test,34,https://github.com/code4wt/mybatis-test.git
xiancloud/xian,4170,https://github.com/xiancloud/xian.git
tobecrazy/appiumDemo,630154,https://github.com/tobecrazy/appiumDemo.git
usnistgov/jsip,14343,https://github.com/usnistgov/jsip.git
pascalpoizat/template-java-project,173,https://github.com/pascalpoizat/template-java-project.git
uavorg/uavstack,17077,https://github.com/uavorg/uavstack.git
yzcheng90/X-SpringBoot,3403,https://github.com/yzcheng90/X-SpringBoot.git
AtomGraph/Processor,1135,https://github.com/AtomGraph/Processor.git
visallo/vertexium,16804,https://github.com/visallo/vertexium.git
momosecurity/rhizobia_J,65,https://github.com/momosecurity/rhizobia_J.git
ggeorgovassilis/spring-rest-invoker,2024,https://github.com/ggeorgovassilis/spring-rest-invoker.git
wangl1989/mysiteforme,6530,https://github.com/wangl1989/mysiteforme.git
wtekiela/opensub4j,12728,https://github.com/wtekiela/opensub4j.git
fforw/svenson,3020,https://github.com/fforw/svenson.git
PeachShrubFizz/GdeiAssistant,9439,https://github.com/PeachShrubFizz/GdeiAssistant.git
VoltDB/voltdb,634085,https://github.com/VoltDB/voltdb.git
vy/log4j2-redis-appender,69,https://github.com/vy/log4j2-redis-appender.git
Qihoo360/XLearning,131640,https://github.com/Qihoo360/XLearning.git
MyCATApache/Mycat-Server,18141,https://github.com/MyCATApache/Mycat-Server.git
butter-fly/belling-admin,2329,https://github.com/butter-fly/belling-admin.git
zaiyunduan123/netty-rpc,55,https://github.com/zaiyunduan123/netty-rpc.git
MSaifAsif/sample-skeleton-projects,9093,https://github.com/MSaifAsif/sample-skeleton-projects.git
jonathanlermitage/tikione-steam-cleaner,16503,https://github.com/jonathanlermitage/tikione-steam-cleaner.git
lets-mica/mica,575,https://github.com/lets-mica/mica.git
qiniu/qiniu-logging-plugin,645,https://github.com/qiniu/qiniu-logging-plugin.git
ITPAPER/mysql-table-document-creator,14111,https://github.com/ITPAPER/mysql-table-document-creator.git
dlcs/elucidate-server,560,https://github.com/dlcs/elucidate-server.git
EinsamHauer/disthene-reader,1345,https://github.com/EinsamHauer/disthene-reader.git
jitwxs/Online_Study_System,884,https://github.com/jitwxs/Online_Study_System.git
fbacchella/LogHub,33213,https://github.com/fbacchella/LogHub.git
mmazi/rescu,545,https://github.com/mmazi/rescu.git
sikoried/jstk,1538,https://github.com/sikoried/jstk.git
